epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5825,1.29151,1.29218,1.05912,0.06676,0.50488,0.0536,0.02592,1.83861,41.3824,1.34883,0.000549352,0.000549352,0.000549352
2,18.3667,1.30922,0.7855,1.04725,0.87117,0.85763,0.8919,0.54633,1.24326,0.80021,1.08271,0.00109408,0.00109408,0.00109408
3,26.1697,1.32042,0.76023,1.05096,0.77341,0.52317,0.55586,0.35474,nan,nan,nan,0.0016278,0.0016278,0.0016278
4,35.4917,1.29373,0.73248,1.04666,0.92736,0.9186,0.96891,0.60885,1.20583,0.84659,1.03577,0.00161749,0.00161749,0.00161749
5,44.9734,1.27796,0.7325,1.0377,0.88237,0.89756,0.95993,0.62219,1.20875,0.69288,1.02741,0.00160099,0.00160099,0.00160099
6,53.7226,1.18704,0.66456,1.00418,0.92299,0.92081,0.96382,0.60677,1.28062,0.63915,1.04146,0.00158448,0.00158448,0.00158448
7,62.1799,1.17705,0.65529,0.99648,0.94855,0.94422,0.97727,0.65378,1.13132,0.60067,0.98569,0.00156798,0.00156798,0.00156798
8,71.6819,1.19264,0.64101,1.0088,0.94338,0.94024,0.9826,0.65887,1.15369,0.56732,0.99921,0.00155148,0.00155148,0.00155148
9,79.8294,1.16242,0.61961,0.98797,0.94698,0.95841,0.9839,0.6729,1.10377,0.54703,0.97375,0.00153497,0.00153497,0.00153497
10,87.6437,1.14078,0.60448,0.98568,0.93952,0.96618,0.98624,0.67623,1.0977,0.54351,0.96603,0.00151847,0.00151847,0.00151847
11,95.4419,1.14407,0.61436,0.98878,0.93555,0.94024,0.97469,0.65443,1.13501,0.58073,0.97894,0.00150197,0.00150197,0.00150197
12,104.274,1.09615,0.58598,0.95873,0.95299,0.9641,0.98876,0.67912,1.09904,0.53085,0.97535,0.00148546,0.00148546,0.00148546
13,113.401,1.11224,0.57927,0.96423,0.97171,0.96342,0.99107,0.69995,1.05594,0.4873,0.96084,0.00146896,0.00146896,0.00146896
14,122.296,1.10698,0.58815,0.97874,0.96606,0.97073,0.98659,0.70203,1.02289,0.50136,0.94252,0.00145246,0.00145246,0.00145246
15,131.666,1.09922,0.57503,0.97293,0.97073,0.97084,0.9892,0.70006,1.04501,0.48587,0.94964,0.00143595,0.00143595,0.00143595
16,141.479,1.0723,0.54768,0.96281,0.97768,0.96131,0.99147,0.71461,1.02857,0.49017,0.94331,0.00141945,0.00141945,0.00141945
17,151.35,1.06802,0.55545,0.95097,0.96189,0.97195,0.99155,0.69827,1.03939,0.51262,0.94554,0.00140295,0.00140295,0.00140295
18,160.907,1.08248,0.5513,0.96591,0.96865,0.97958,0.9915,0.71084,1.03856,0.49183,0.9453,0.00138644,0.00138644,0.00138644
19,170.299,1.06396,0.54307,0.96228,0.97765,0.97317,0.9925,0.71675,1.01806,0.4713,0.93703,0.00136994,0.00136994,0.00136994
20,179.871,1.05532,0.52372,0.94764,0.98113,0.98537,0.99399,0.73228,0.98915,0.44168,0.92555,0.00135344,0.00135344,0.00135344
21,189.366,1.05217,0.529,0.9517,0.97467,0.9856,0.99376,0.72082,0.9741,0.47536,0.92166,0.00133693,0.00133693,0.00133693
22,198.913,1.01792,0.51837,0.94457,0.97529,0.9878,0.99263,0.73154,0.98051,0.45488,0.92367,0.00132043,0.00132043,0.00132043
23,208.489,1.01163,0.50207,0.94412,0.98071,0.99188,0.99399,0.73759,0.96619,0.43391,0.91413,0.00130393,0.00130393,0.00130393
24,218.244,1.01114,0.50611,0.94294,0.97933,0.98231,0.99337,0.73682,0.9715,0.43566,0.91716,0.00128742,0.00128742,0.00128742
25,227.866,1.01441,0.50104,0.93971,0.99007,0.99146,0.99452,0.73259,0.98053,0.44298,0.91951,0.00127092,0.00127092,0.00127092
26,237.493,1.00192,0.4919,0.94034,0.9806,0.9861,0.99438,0.72609,1.00595,0.44685,0.92593,0.00125442,0.00125442,0.00125442
27,246.521,1.0003,0.49848,0.9343,0.98782,0.98415,0.99407,0.73508,0.96687,0.42845,0.91975,0.00123791,0.00123791,0.00123791
28,255.57,1.00407,0.50062,0.94721,0.97935,0.97561,0.99283,0.71379,1.00227,0.45112,0.93133,0.00122141,0.00122141,0.00122141
29,264.603,0.99597,0.48685,0.94284,0.99137,0.98024,0.99417,0.73873,0.9839,0.44206,0.92468,0.00120491,0.00120491,0.00120491
30,273.973,0.99903,0.48803,0.94008,0.98774,0.99756,0.99411,0.75247,0.94552,0.40625,0.9069,0.0011884,0.0011884,0.0011884
31,283.561,0.98147,0.48285,0.92942,0.99627,0.99512,0.99472,0.74638,0.92754,0.40372,0.90306,0.0011719,0.0011719,0.0011719
32,293.487,0.9681,0.47011,0.9277,0.98663,0.98975,0.9939,0.75037,0.94922,0.41258,0.91025,0.0011554,0.0011554,0.0011554
33,303.673,0.9776,0.46635,0.9328,0.99024,0.9899,0.9947,0.73893,0.96948,0.41985,0.91884,0.00113889,0.00113889,0.00113889
34,313.677,0.98398,0.47772,0.93956,0.98663,0.9939,0.99453,0.73136,0.99289,0.41501,0.92583,0.00112239,0.00112239,0.00112239
35,323.418,0.97069,0.46961,0.92497,0.99055,0.98293,0.99398,0.74413,0.95488,0.40734,0.91019,0.00110589,0.00110589,0.00110589
36,333.328,0.96394,0.4659,0.92574,0.98664,0.99088,0.9941,0.75116,0.94703,0.40075,0.90852,0.00108938,0.00108938,0.00108938
37,343.435,0.95711,0.46422,0.92501,0.98868,0.9939,0.99474,0.75717,0.93164,0.39539,0.90393,0.00107288,0.00107288,0.00107288
38,353.252,0.95275,0.45996,0.93095,0.99533,0.99268,0.99457,0.74657,0.93654,0.40005,0.90454,0.00105638,0.00105638,0.00105638
39,363.434,0.95472,0.46268,0.92265,0.99299,0.98415,0.99464,0.74282,0.93528,0.39731,0.90664,0.00103987,0.00103987,0.00103987
40,372.553,0.93661,0.44779,0.92532,0.99091,0.99268,0.99457,0.74868,0.93774,0.40307,0.90514,0.00102337,0.00102337,0.00102337
41,381.501,0.95556,0.45599,0.92356,0.99266,0.99022,0.99451,0.75986,0.92605,0.39472,0.9029,0.00100687,0.00100687,0.00100687
42,391.494,0.94709,0.4562,0.92381,0.98782,0.98905,0.99449,0.76071,0.92677,0.38773,0.90353,0.000990365,0.000990365,0.000990365
43,400.82,0.95099,0.44618,0.92639,0.98662,0.98902,0.99441,0.7525,0.9491,0.39429,0.90984,0.000973861,0.000973861,0.000973861
44,410.049,0.91056,0.43722,0.90793,0.98901,0.9874,0.99418,0.75301,0.92073,0.39064,0.8987,0.000957358,0.000957358,0.000957358
45,419.077,0.92081,0.44396,0.91556,0.99029,0.99498,0.99467,0.7617,0.91812,0.39227,0.89949,0.000940855,0.000940855,0.000940855
46,429.018,0.92735,0.44075,0.91847,0.99024,0.98988,0.99459,0.75148,0.93366,0.39063,0.90246,0.000924352,0.000924352,0.000924352
47,438.39,0.90793,0.43588,0.91462,0.98789,0.99456,0.99436,0.76764,0.89168,0.37558,0.89155,0.000907848,0.000907848,0.000907848
48,448.423,0.90695,0.4323,0.91484,0.98896,0.99512,0.99465,0.77199,0.90278,0.37969,0.89466,0.000891345,0.000891345,0.000891345
49,458.322,0.91595,0.43545,0.91678,0.99491,0.99756,0.99478,0.76446,0.92848,0.38219,0.90139,0.000874842,0.000874842,0.000874842
50,467.688,0.90141,0.43228,0.90672,0.99207,0.9939,0.99466,0.76404,0.91034,0.38225,0.89465,0.000858338,0.000858338,0.000858338
51,476.61,0.91422,0.42088,0.91483,0.99389,0.99266,0.99456,0.7682,0.90612,0.36612,0.8962,0.000841835,0.000841835,0.000841835
52,485.755,0.89833,0.42376,0.90701,0.99624,0.98659,0.99483,0.77179,0.89839,0.36627,0.89359,0.000825332,0.000825332,0.000825332
53,495.181,0.90939,0.42124,0.91034,0.98953,0.99268,0.99465,0.77056,0.89847,0.3698,0.89257,0.000808828,0.000808828,0.000808828
54,504.001,0.90043,0.42259,0.90698,0.99182,0.9939,0.99474,0.77669,0.88683,0.3728,0.88961,0.000792325,0.000792325,0.000792325
55,513.576,0.89242,0.41513,0.91196,0.99515,0.99512,0.99493,0.77669,0.88291,0.3592,0.88799,0.000775822,0.000775822,0.000775822
56,522.993,0.88868,0.41958,0.9053,0.99391,0.99457,0.99491,0.77081,0.90347,0.36952,0.89319,0.000759318,0.000759318,0.000759318
57,531.735,0.883,0.41178,0.9069,0.99316,0.9939,0.99485,0.76653,0.91108,0.36679,0.89659,0.000742815,0.000742815,0.000742815
58,540.65,0.88129,0.41479,0.90607,0.9951,0.99103,0.99473,0.77684,0.89712,0.36257,0.89515,0.000726312,0.000726312,0.000726312
59,549.46,0.88498,0.4169,0.90698,0.99484,0.99512,0.99479,0.78119,0.89496,0.36738,0.88881,0.000709809,0.000709809,0.000709809
60,558.351,0.8751,0.40411,0.89618,0.99634,0.99573,0.99486,0.77643,0.87652,0.36272,0.88273,0.000693305,0.000693305,0.000693305
61,568.368,0.86352,0.40457,0.90304,0.99492,0.99512,0.99475,0.78053,0.88427,0.35874,0.88645,0.000676802,0.000676802,0.000676802
62,578.275,0.8609,0.39944,0.89706,0.99631,0.99634,0.99496,0.77826,0.88698,0.35856,0.88925,0.000660299,0.000660299,0.000660299
63,587.777,0.85733,0.39523,0.89518,0.99437,0.99268,0.99488,0.78925,0.86729,0.35206,0.88249,0.000643795,0.000643795,0.000643795
64,597.293,0.84468,0.39029,0.89992,0.99219,0.9939,0.99481,0.77924,0.87745,0.34914,0.88319,0.000627292,0.000627292,0.000627292
65,606.714,0.86397,0.39801,0.89915,0.99756,0.99624,0.99498,0.78325,0.87707,0.34734,0.88499,0.000610789,0.000610789,0.000610789
66,616.193,0.85191,0.39727,0.89697,0.99633,0.99251,0.9949,0.78258,0.88337,0.35566,0.88389,0.000594286,0.000594286,0.000594286
67,625.767,0.84447,0.39099,0.90082,0.99134,0.99756,0.99491,0.78627,0.8669,0.34704,0.88367,0.000577782,0.000577782,0.000577782
68,634.322,0.83669,0.38719,0.89545,0.99649,1,0.99494,0.7878,0.8671,0.34243,0.88107,0.000561279,0.000561279,0.000561279
69,642.054,0.8254,0.37938,0.89647,0.99635,0.99993,0.995,0.78599,0.86323,0.34163,0.88097,0.000544776,0.000544776,0.000544776
70,649.754,0.84008,0.38807,0.89767,0.99367,0.99634,0.99491,0.78433,0.86755,0.3434,0.88184,0.000528272,0.000528272,0.000528272
71,659.051,0.83163,0.38208,0.8976,0.99619,0.99634,0.99493,0.77669,0.85809,0.34425,0.88041,0.000511769,0.000511769,0.000511769
72,668.651,0.82517,0.38091,0.89034,0.99511,0.99317,0.99495,0.78363,0.85957,0.34134,0.88206,0.000495266,0.000495266,0.000495266
73,678.071,0.82236,0.37924,0.89134,0.9903,0.99607,0.99496,0.79072,0.86303,0.3393,0.87978,0.000478762,0.000478762,0.000478762
74,687.789,0.81403,0.3748,0.89381,0.99427,0.99512,0.99479,0.7967,0.85416,0.33765,0.87803,0.000462259,0.000462259,0.000462259
75,697.735,0.82032,0.37833,0.88966,0.99878,0.99507,0.995,0.79217,0.83526,0.33247,0.87284,0.000445756,0.000445756,0.000445756
76,707.438,0.80358,0.37002,0.88638,0.9948,0.99756,0.99475,0.7909,0.85006,0.33552,0.87761,0.000429253,0.000429253,0.000429253
77,716.695,0.80548,0.37137,0.88804,0.99609,0.9939,0.9949,0.79253,0.84679,0.3345,0.87807,0.000412749,0.000412749,0.000412749
78,725.881,0.80795,0.36866,0.88626,0.99632,0.99634,0.99498,0.79613,0.83561,0.33473,0.87173,0.000396246,0.000396246,0.000396246
79,734.97,0.80132,0.36872,0.88808,0.99465,0.99512,0.99486,0.79723,0.8416,0.32998,0.87346,0.000379743,0.000379743,0.000379743
80,744.646,0.79863,0.36562,0.88699,0.99595,0.99634,0.99488,0.79966,0.83889,0.32446,0.87299,0.000363239,0.000363239,0.000363239
81,754.643,0.7882,0.35862,0.88817,0.99716,0.99634,0.99486,0.80128,0.83063,0.32657,0.87327,0.000346736,0.000346736,0.000346736
82,764.358,0.7849,0.3567,0.87901,0.9951,0.99634,0.99494,0.79991,0.8334,0.32045,0.87265,0.000330233,0.000330233,0.000330233
83,773.768,0.78853,0.35723,0.88083,0.9936,0.99634,0.99485,0.7953,0.83138,0.32233,0.87219,0.000313729,0.000313729,0.000313729
84,783.164,0.76447,0.3532,0.88218,0.99616,0.99756,0.99498,0.79501,0.83561,0.32649,0.87481,0.000297226,0.000297226,0.000297226
85,792.984,0.78345,0.35622,0.88719,0.99513,0.99641,0.9949,0.79902,0.82929,0.31826,0.87125,0.000280723,0.000280723,0.000280723
86,802.349,0.77325,0.35206,0.87784,0.99635,0.99738,0.99488,0.79166,0.8291,0.31937,0.87045,0.00026422,0.00026422,0.00026422
87,811.543,0.77831,0.35253,0.88231,0.99503,0.99634,0.99484,0.79947,0.8239,0.31666,0.86973,0.000247716,0.000247716,0.000247716
88,820.726,0.77614,0.35189,0.87896,0.99392,0.9972,0.99495,0.80077,0.81571,0.31103,0.86802,0.000231213,0.000231213,0.000231213
89,829.657,0.77111,0.34847,0.87987,0.99272,0.9974,0.99486,0.79793,0.81694,0.31636,0.86752,0.00021471,0.00021471,0.00021471
90,838.825,0.77045,0.34411,0.8751,0.9945,0.99634,0.99474,0.8012,0.81303,0.31077,0.86705,0.000198206,0.000198206,0.000198206
91,848.556,0.72572,0.31392,0.87976,0.99606,0.9939,0.99493,0.79958,0.81486,0.31509,0.86783,0.000181703,0.000181703,0.000181703
92,857.637,0.71486,0.30815,0.87674,0.99608,0.99512,0.99498,0.80196,0.81539,0.31595,0.86728,0.0001652,0.0001652,0.0001652
93,868.127,0.70842,0.30696,0.88285,0.99513,0.9963,0.99498,0.80212,0.81183,0.31263,0.86619,0.000148696,0.000148696,0.000148696
94,877.297,0.70541,0.30287,0.87627,0.99634,0.9968,0.99499,0.80226,0.81149,0.31118,0.86717,0.000132193,0.000132193,0.000132193
95,885.848,0.69833,0.29987,0.87897,0.99634,0.9947,0.995,0.80241,0.8155,0.31231,0.86949,0.00011569,0.00011569,0.00011569
96,894.423,0.692,0.29966,0.87309,0.99723,0.99512,0.99498,0.80267,0.80594,0.30992,0.86673,9.91865e-05,9.91865e-05,9.91865e-05
97,903.4,0.69163,0.30041,0.87466,0.99836,0.99756,0.995,0.80606,0.80452,0.30926,0.86598,8.26832e-05,8.26832e-05,8.26832e-05
98,912.748,0.68923,0.29544,0.87166,0.99755,0.99466,0.99498,0.8059,0.80226,0.3058,0.86473,6.61799e-05,6.61799e-05,6.61799e-05
99,922.305,0.67755,0.29272,0.86608,0.99614,0.99512,0.99496,0.80329,0.80487,0.30498,0.86583,4.96766e-05,4.96766e-05,4.96766e-05
100,932.048,0.68001,0.29452,0.87643,0.99615,0.99512,0.99499,0.8071,0.79773,0.3036,0.86375,3.31733e-05,3.31733e-05,3.31733e-05
